Trial,Bandit,Reward,CumulativeReward,CumulativeRegret,Algorithm
1,3,3.6413128829610275,3.6413128829610275,0,ThompsonSampling
2,1,1.8181984770146302,5.459511359975657,2,ThompsonSampling
3,0,1.1078116641161577,6.567323024091815,5,ThompsonSampling
4,2,3.001805050194665,9.56912807428648,6,ThompsonSampling
5,2,2.9322356067941606,12.50136368108064,7,ThompsonSampling
6,3,3.96930096086461,16.470664641945252,7,ThompsonSampling
7,1,2.074088907332647,18.5447535492779,9,ThompsonSampling
8,3,4.108470514429806,22.653224063707704,9,ThompsonSampling
9,3,4.293535602114683,26.946759665822388,9,ThompsonSampling
10,3,4.017542043681666,30.964301709504053,9,ThompsonSampling
11,3,4.086699266015314,35.051000975519365,9,ThompsonSampling
12,3,3.6282775227753006,38.679278498294664,9,ThompsonSampling
13,3,3.591935390254257,42.27121388854892,9,ThompsonSampling
14,3,4.14705591521304,46.41826980376196,9,ThompsonSampling
15,3,3.7802522106007888,50.198522014362744,9,ThompsonSampling
16,3,3.5933066907754774,53.79182870513822,9,ThompsonSampling
17,3,3.919221546132412,57.711050251270635,9,ThompsonSampling
18,2,3.0701776988175493,60.78122795008819,10,ThompsonSampling
19,3,3.6524080991230865,64.43363604921127,10,ThompsonSampling
20,3,3.5312793618000073,67.96491541101128,10,ThompsonSampling
21,3,3.9391827122397367,71.90409812325102,10,ThompsonSampling
22,0,0.8833170810841985,72.78741520433522,13,ThompsonSampling
23,3,3.9447641015498522,76.73217930588507,13,ThompsonSampling
24,3,3.705365350440023,80.43754465632509,13,ThompsonSampling
25,3,4.159835999007003,84.59738065533209,13,ThompsonSampling
26,3,3.6470164543448487,88.24439710967694,13,ThompsonSampling
27,3,3.9633486852440836,92.20774579492102,13,ThompsonSampling
28,3,4.0253008350613015,96.23304662998233,13,ThompsonSampling
29,3,4.65594908022228,100.88899571020461,13,ThompsonSampling
30,3,4.139483254455386,105.02847896466,13,ThompsonSampling
31,3,4.122028817281332,109.15050778194133,13,ThompsonSampling
32,3,3.910499824761471,113.0610076067028,13,ThompsonSampling
33,3,4.024964729277169,117.08597233597997,13,ThompsonSampling
34,3,4.164224175462382,121.25019651144235,13,ThompsonSampling
35,3,3.927104181677468,125.17730069311982,13,ThompsonSampling
36,3,4.2299001135435965,129.4072008066634,13,ThompsonSampling
37,3,4.165891686122679,133.5730924927861,13,ThompsonSampling
38,3,4.124444082893587,137.69753657567966,13,ThompsonSampling
39,3,3.7557141669808463,141.45325074266052,13,ThompsonSampling
40,3,3.9341995130598586,145.38745025572038,13,ThompsonSampling
41,3,4.173919639508989,149.56136989522938,13,ThompsonSampling
42,3,3.978296635216203,153.53966653044557,13,ThompsonSampling
43,3,3.8603658004834216,157.40003233092898,13,ThompsonSampling
44,3,3.8319113975017007,161.23194372843068,13,ThompsonSampling
45,3,4.012092489800582,165.24403621823126,13,ThompsonSampling
46,3,4.180435879088118,169.42447209731938,13,ThompsonSampling
47,3,3.795297003040394,173.21976910035977,13,ThompsonSampling
48,2,2.984672087200526,176.2044411875603,14,ThompsonSampling
49,3,3.968055173975723,180.17249636153602,14,ThompsonSampling
50,3,3.9330311749084563,184.10552753644447,14,ThompsonSampling
51,3,3.525119463186749,187.6306469996312,14,ThompsonSampling
52,3,4.380875181836051,192.01152218146726,14,ThompsonSampling
53,3,3.90400297769347,195.91552515916072,14,ThompsonSampling
54,3,3.712571313553844,199.62809647271456,14,ThompsonSampling
55,3,3.877581049966438,203.505677522681,14,ThompsonSampling
56,3,3.928105108170994,207.433782630852,14,ThompsonSampling
57,3,3.9995587109180675,211.43334134177007,14,ThompsonSampling
58,3,4.246806936272915,215.680148278043,14,ThompsonSampling
59,2,2.8857236784233513,218.56587195646634,15,ThompsonSampling
60,3,3.9209307197666385,222.48680267623297,15,ThompsonSampling
61,3,4.036013336987042,226.52281601322002,15,ThompsonSampling
62,3,3.8737762634829807,230.39659227670302,15,ThompsonSampling
63,3,3.8330969585229044,234.22968923522592,15,ThompsonSampling
64,3,3.7089281110043504,237.93861734623027,15,ThompsonSampling
65,1,2.1199640858916444,240.0585814321219,17,ThompsonSampling
66,3,4.281766796792495,244.3403482289144,17,ThompsonSampling
67,3,4.222129056062825,248.5624772849772,17,ThompsonSampling
68,3,3.995922541645584,252.5583998266228,17,ThompsonSampling
69,3,4.3230352537023276,256.8814350803251,17,ThompsonSampling
70,3,4.107111670116714,260.9885467504418,17,ThompsonSampling
71,3,4.290233979956303,265.2787807303981,17,ThompsonSampling
72,3,4.534067448959939,269.81284817935807,17,ThompsonSampling
73,3,4.083204349813553,273.89605252917164,17,ThompsonSampling
74,3,3.7653688757114434,277.6614214048831,17,ThompsonSampling
75,3,4.165957809177022,281.8273792140601,17,ThompsonSampling
76,3,4.50594697484269,286.3333261889028,17,ThompsonSampling
77,3,3.7438209644114657,290.07714715331423,17,ThompsonSampling
78,3,4.097699333187684,294.1748464865019,17,ThompsonSampling
79,3,4.324218595534621,298.4990650820365,17,ThompsonSampling
80,3,4.169670113379672,302.66873519541616,17,ThompsonSampling
81,3,4.163041208287475,306.83177640370366,17,ThompsonSampling
82,3,3.902168599747875,310.73394500345154,17,ThompsonSampling
83,3,4.231106117925777,314.9650511213773,17,ThompsonSampling
84,3,3.9538165005437804,318.9188676219211,17,ThompsonSampling
85,3,4.156150871204535,323.07501849312564,17,ThompsonSampling
86,3,4.057441640432017,327.13246013355763,17,ThompsonSampling
87,3,3.98767298307559,331.1201331166332,17,ThompsonSampling
88,3,3.990947359373587,335.1110804760068,17,ThompsonSampling
